1:0:d=2026072300:PRMSL:mean sea level:anl:
2:261724:d=2026072300:CLMR:1 hybrid level:anl:
3:299946:d=2026072300:ICMR:1 hybrid level:anl:
4:364192:d=2026072300:RWMR:1 hybrid level:anl:
5:443562:d=2026072300:SNMR:1 hybrid level:anl:
6:472872:d=2026072300:GRLE:1 hybrid level:anl:
7:490617:d=2026072300:REFD:1 hybrid level:anl:
8:737973:d=2026072300:REFD:2 hybrid level:anl:
9:985195:d=2026072300:REFC:entire atmosphere:anl:
117:26806453:d=2026072300:RH:3 mb:anl:
118:26812415:d=2026072300:SPFH:3 mb:anl:
119:27105422:d=2026072300:VVEL:3 mb:anl:
120:27452804:d=2026072300:DZDT:3 mb:anl:
121:27790841:d=2026072300:UGRD:3 mb:anl:
122:28069434:d=2026072300:VGRD:3 mb:anl:
123:28319328:d=2026072300:ABSV:3 mb:anl:
124:28503999:d=2026072300:O3MR:3 mb:anl:
125:28805078:d=2026072300:HGT:5 mb:anl:
126:29016748:d=2026072300:TMP:5 mb:anl:
127:29267856:d=2026072300:RH:5 mb:anl:
128:29285763:d=2026072300:SPFH:5 mb:anl:
129:29588785:d=2026072300:VVEL:5 mb:anl:
130:29954772:d=2026072300:DZDT:5 mb:anl:
131:30318248:d=2026072300:UGRD:5 mb:anl:
132:30596622:d=2026072300:VGRD:5 mb:anl:
133:30848372:d=2026072300:ABSV:5 mb:anl:
134:31040487:d=2026072300:O3MR:5 mb:anl:
135:31338315:d=2026072300:HGT:7 mb:anl:
136:31545056:d=2026072300:TMP:7 mb:anl:
137:31788191:d=2026072300:RH:7 mb:anl:
138:31813535:d=2026072300:SPFH:7 mb:anl:
139:32117104:d=2026072300:VVEL:7 mb:anl:
140:32491574:d=2026072300:DZDT:7 mb:anl:
141:32845243:d=2026072300:UGRD:7 mb:anl:
142:33119178:d=2026072300:VGRD:7 mb:anl:
143:33368406:d=2026072300:ABSV:7 mb:anl:
144:33565077:d=2026072300:O3MR:7 mb:anl:
145:33872588:d=2026072300:HGT:10 mb:anl:
146:34074068:d=2026072300:TMP:10 mb:anl:
147:34313516:d=2026072300:RH:10 mb:anl:
148:34348510:d=2026072300:SPFH:10 mb:anl:
149:34659608:d=2026072300:VVEL:10 mb:anl:
150:35046744:d=2026072300:DZDT:10 mb:anl:
151:35395013:d=2026072300:UGRD:10 mb:anl:
152:35667513:d=2026072300:VGRD:10 mb:anl:
153:35919984:d=2026072300:ABSV:10 mb:anl:
154:36237898:d=2026072300:O3MR:10 mb:anl:
155:36568672:d=2026072300:HGT:15 mb:anl:
156:36792446:d=2026072300:TMP:15 mb:anl:
157:37030723:d=2026072300:RH:15 mb:anl:
158:37081721:d=2026072300:SPFH:15 mb:anl:
159:37389749:d=2026072300:VVEL:15 mb:anl:
160:37682394:d=2026072300:DZDT:15 mb:anl:
161:38025689:d=2026072300:UGRD:15 mb:anl:
162:38296616:d=2026072300:VGRD:15 mb:anl:
163:38550691:d=2026072300:ABSV:15 mb:anl:
164:38763626:d=2026072300:O3MR:15 mb:anl:
165:39112566:d=2026072300:HGT:20 mb:anl:
166:39331416:d=2026072300:TMP:20 mb:anl:
167:39567559:d=2026072300:RH:20 mb:anl:
168:39618358:d=2026072300:SPFH:20 mb:anl:
169:39947281:d=2026072300:VVEL:20 mb:anl:
170:40248983:d=2026072300:DZDT:20 mb:anl:
171:40587504:d=2026072300:UGRD:20 mb:anl:
172:40857465:d=2026072300:VGRD:20 mb:anl:
173:41110908:d=2026072300:ABSV:20 mb:anl:
174:41323597:d=2026072300:O3MR:20 mb:anl:
175:41676204:d=2026072300:HGT:30 mb:anl:
176:41889193:d=2026072300:TMP:30 mb:anl:
177:42120183:d=2026072300:RH:30 mb:anl:
178:42192938:d=2026072300:SPFH:30 mb:anl:
179:42513334:d=2026072300:VVEL:30 mb:anl:
180:42826205:d=2026072300:DZDT:30 mb:anl:
181:43154841:d=2026072300:UGRD:30 mb:anl:
182:43420831:d=2026072300:VGRD:30 mb:anl:
183:43668476:d=2026072300:ABSV:30 mb:anl:
184:43878403:d=2026072300:O3MR:30 mb:anl:
185:44255193:d=2026072300:HGT:40 mb:anl:
186:44463522:d=2026072300:TMP:40 mb:anl:
187:44699053:d=2026072300:RH:40 mb:anl:
188:44786869:d=2026072300:SPFH:40 mb:anl:
189:45119694:d=2026072300:VVEL:40 mb:anl:
190:45445888:d=2026072300:DZDT:40 mb:anl:
191:45773436:d=2026072300:UGRD:40 mb:anl:
192:46045301:d=2026072300:VGRD:40 mb:anl:
193:46298171:d=2026072300:ABSV:40 mb:anl:
194:46519200:d=2026072300:O3MR:40 mb:anl:
195:46896043:d=2026072300:HGT:50 mb:anl:
196:47101986:d=2026072300:TMP:50 mb:anl:
197:47332758:d=2026072300:RH:50 mb:anl:
198:47427360:d=2026072300:TCDC:50 mb:anl:
199:47439184:d=2026072300:SPFH:50 mb:anl:
200:47776352:d=2026072300:VVEL:50 mb:anl:
201:48109656:d=2026072300:DZDT:50 mb:anl:
202:48432233:d=2026072300:UGRD:50 mb:anl:
203:48699953:d=2026072300:VGRD:50 mb:anl:
204:48948561:d=2026072300:ABSV:50 mb:anl:
205:49273928:d=2026072300:CLMR:50 mb:anl:
206:49274107:d=2026072300:ICMR:50 mb:anl:
207:49295894:d=2026072300:RWMR:50 mb:anl:
208:49615735:d=2026072300:SNMR:50 mb:anl:
209:49941166:d=2026072300:GRLE:50 mb:anl:
210:50263510:d=2026072300:O3MR:50 mb:anl:
211:50628967:d=2026072300:HGT:70 mb:anl:
212:50832463:d=2026072300:TMP:70 mb:anl:
213:51067320:d=2026072300:RH:70 mb:anl:
214:51193470:d=2026072300:SPFH:70 mb:anl:
215:51493195:d=2026072300:VVEL:70 mb:anl:
216:51838581:d=2026072300:DZDT:70 mb:anl:
217:52156019:d=2026072300:UGRD:70 mb:anl:
218:52421837:d=2026072300:VGRD:70 mb:anl:
219:52677553:d=2026072300:ABSV:70 mb:anl:
220:52904558:d=2026072300:O3MR:70 mb:anl:
221:53264277:d=2026072300:HGT:100 mb:anl:
222:53495697:d=2026072300:TMP:100 mb:anl:
223:53731993:d=2026072300:RH:100 mb:anl:
224:53894581:d=2026072300:TCDC:100 mb:anl:
225:53937226:d=2026072300:SPFH:100 mb:anl:
226:54267799:d=2026072300:VVEL:100 mb:anl:
227:54631259:d=2026072300:DZDT:100 mb:anl:
228:54949992:d=2026072300:UGRD:100 mb:anl:
229:55230860:d=2026072300:VGRD:100 mb:anl:
230:55498013:d=2026072300:ABSV:100 mb:anl:
231:55741040:d=2026072300:CLMR:100 mb:anl:
232:55741404:d=2026072300:ICMR:100 mb:anl:
233:55760691:d=2026072300:RWMR:100 mb:anl:
234:56088461:d=2026072300:SNMR:100 mb:anl:
235:56099038:d=2026072300:GRLE:100 mb:anl:
236:56114416:d=2026072300:O3MR:100 mb:anl:
237:56452303:d=2026072300:HGT:150 mb:anl:
238:56681075:d=2026072300:TMP:150 mb:anl:
239:56912683:d=2026072300:RH:150 mb:anl:
240:57105103:d=2026072300:TCDC:150 mb:anl:
241:57182352:d=2026072300:SPFH:150 mb:anl:
242:57497903:d=2026072300:VVEL:150 mb:anl:
243:57780825:d=2026072300:DZDT:150 mb:anl:
244:58106661:d=2026072300:UGRD:150 mb:anl:
245:58392331:d=2026072300:VGRD:150 mb:anl:
246:58667601:d=2026072300:ABSV:150 mb:anl:
247:58920554:d=2026072300:CLMR:150 mb:anl:
248:58925059:d=2026072300:ICMR:150 mb:anl:
249:58978252:d=2026072300:RWMR:150 mb:anl:
250:59260107:d=2026072300:SNMR:150 mb:anl:
251:59264050:d=2026072300:GRLE:150 mb:anl:
252:59265027:d=2026072300:O3MR:150 mb:anl:
253:59568132:d=2026072300:HGT:200 mb:anl:
254:59795610:d=2026072300:TMP:200 mb:anl:
255:60028095:d=2026072300:RH:200 mb:anl:
256:60258738:d=2026072300:TCDC:200 mb:anl:
257:60367158:d=2026072300:SPFH:200 mb:anl:
258:60688301:d=2026072300:VVEL:200 mb:anl:
259:60987883:d=2026072300:DZDT:200 mb:anl:
260:61286374:d=2026072300:UGRD:200 mb:anl:
261:61470152:d=2026072300:VGRD:200 mb:anl:
262:61652844:d=2026072300:ABSV:200 mb:anl:
263:61918330:d=2026072300:CLMR:200 mb:anl:
264:61918588:d=2026072300:ICMR:200 mb:anl:
265:62010790:d=2026072300:RWMR:200 mb:anl:
266:62279371:d=2026072300:SNMR:200 mb:anl:
267:62299302:d=2026072300:GRLE:200 mb:anl:
268:62301058:d=2026072300:O3MR:200 mb:anl:
269:62586633:d=2026072300:HGT:250 mb:anl:
270:62813571:d=2026072300:TMP:250 mb:anl:
271:63041618:d=2026072300:RH:250 mb:anl:
272:63295286:d=2026072300:TCDC:250 mb:anl:
273:63436802:d=2026072300:SPFH:250 mb:anl:
274:63756880:d=2026072300:VVEL:250 mb:anl:
275:64071161:d=2026072300:DZDT:250 mb:anl:
276:64374110:d=2026072300:UGRD:250 mb:anl:
277:64562717:d=2026072300:VGRD:250 mb:anl:
278:64752987:d=2026072300:ABSV:250 mb:anl:
279:65030039:d=2026072300:CLMR:250 mb:anl:
280:65030826:d=2026072300:ICMR:250 mb:anl:
281:65147812:d=2026072300:RWMR:250 mb:anl:
282:65424558:d=2026072300:SNMR:250 mb:anl:
283:65459554:d=2026072300:GRLE:250 mb:anl:
284:65463068:d=2026072300:O3MR:250 mb:anl:
285:65811099:d=2026072300:HGT:300 mb:anl:
286:66035625:d=2026072300:TMP:300 mb:anl:
287:66265670:d=2026072300:RH:300 mb:anl:
288:66526183:d=2026072300:TCDC:300 mb:anl:
289:66666249:d=2026072300:SPFH:300 mb:anl:
290:67020942:d=2026072300:VVEL:300 mb:anl:
291:67345407:d=2026072300:DZDT:300 mb:anl:
292:67651644:d=2026072300:UGRD:300 mb:anl:
293:67842977:d=2026072300:VGRD:300 mb:anl:
294:68038835:d=2026072300:ABSV:300 mb:anl:
295:68323935:d=2026072300:CLMR:300 mb:anl:
296:68325021:d=2026072300:ICMR:300 mb:anl:
297:68450874:d=2026072300:RWMR:300 mb:anl:
298:68721261:d=2026072300:SNMR:300 mb:anl:
299:68766871:d=2026072300:GRLE:300 mb:anl:
300:68772956:d=2026072300:O3MR:300 mb:anl:
301:69146566:d=2026072300:HGT:350 mb:anl:
302:69367367:d=2026072300:TMP:350 mb:anl:
303:69591274:d=2026072300:RH:350 mb:anl:
304:69850820:d=2026072300:TCDC:350 mb:anl:
305:69984732:d=2026072300:SPFH:350 mb:anl:
306:70338759:d=2026072300:VVEL:350 mb:anl:
307:70666325:d=2026072300:DZDT:350 mb:anl:
308:70970529:d=2026072300:UGRD:350 mb:anl:
309:71158115:d=2026072300:VGRD:350 mb:anl:
310:71350237:d=2026072300:ABSV:350 mb:anl:
311:71631020:d=2026072300:CLMR:350 mb:anl:
312:71632576:d=2026072300:ICMR:350 mb:anl:
313:71770174:d=2026072300:RWMR:350 mb:anl:
314:71908627:d=2026072300:SNMR:350 mb:anl:
315:71962920:d=2026072300:GRLE:350 mb:anl:
316:71971307:d=2026072300:O3MR:350 mb:anl:
317:72332104:d=2026072300:HGT:400 mb:anl:
318:72551642:d=2026072300:TMP:400 mb:anl:
319:72775174:d=2026072300:RH:400 mb:anl:
320:73033776:d=2026072300:TCDC:400 mb:anl:
321:73161446:d=2026072300:SPFH:400 mb:anl:
322:73508297:d=2026072300:VVEL:400 mb:anl:
323:73838258:d=2026072300:DZDT:400 mb:anl:
324:74172771:d=2026072300:UGRD:400 mb:anl:
325:74355929:d=2026072300:VGRD:400 mb:anl:
326:74544143:d=2026072300:ABSV:400 mb:anl:
327:74819848:d=2026072300:CLMR:400 mb:anl:
328:74823466:d=2026072300:ICMR:400 mb:anl:
329:74954136:d=2026072300:RWMR:400 mb:anl:
330:75042875:d=2026072300:SNMR:400 mb:anl:
331:75103702:d=2026072300:GRLE:400 mb:anl:
332:75115774:d=2026072300:O3MR:400 mb:anl:
333:75465428:d=2026072300:HGT:450 mb:anl:
334:75681890:d=2026072300:TMP:450 mb:anl:
335:75906782:d=2026072300:RH:450 mb:anl:
336:76165786:d=2026072300:TCDC:450 mb:anl:
337:76292382:d=2026072300:SPFH:450 mb:anl:
338:76659582:d=2026072300:VVEL:450 mb:anl:
339:76990567:d=2026072300:DZDT:450 mb:anl:
340:77322493:d=2026072300:UGRD:450 mb:anl:
341:77503619:d=2026072300:VGRD:450 mb:anl:
342:77689781:d=2026072300:ABSV:450 mb:anl:
343:77961643:d=2026072300:CLMR:450 mb:anl:
344:77972932:d=2026072300:ICMR:450 mb:anl:
345:78100925:d=2026072300:RWMR:450 mb:anl:
346:78177503:d=2026072300:SNMR:450 mb:anl:
347:78244587:d=2026072300:GRLE:450 mb:anl:
348:78260075:d=2026072300:O3MR:450 mb:anl:
349:78601232:d=2026072300:HGT:500 mb:anl:
350:78816484:d=2026072300:TMP:500 mb:anl:
351:79042472:d=2026072300:RH:500 mb:anl:
352:79301602:d=2026072300:TCDC:500 mb:anl:
353:79430520:d=2026072300:SPFH:500 mb:anl:
354:79813743:d=2026072300:VVEL:500 mb:anl:
355:80146384:d=2026072300:DZDT:500 mb:anl:
356:80475759:d=2026072300:UGRD:500 mb:anl:
357:80653363:d=2026072300:VGRD:500 mb:anl:
358:80835404:d=2026072300:ABSV:500 mb:anl:
359:81101527:d=2026072300:CLMR:500 mb:anl:
360:81127412:d=2026072300:ICMR:500 mb:anl:
361:81259304:d=2026072300:RWMR:500 mb:anl:
362:81269804:d=2026072300:SNMR:500 mb:anl:
363:81342964:d=2026072300:GRLE:500 mb:anl:
364:81363347:d=2026072300:O3MR:500 mb:anl:
365:81696620:d=2026072300:HGT:550 mb:anl:
366:81911470:d=2026072300:TMP:550 mb:anl:
367:82137228:d=2026072300:RH:550 mb:anl:
368:82394958:d=2026072300:TCDC:550 mb:anl:
369:82522288:d=2026072300:SPFH:550 mb:anl:
370:82907971:d=2026072300:VVEL:550 mb:anl:
371:83243062:d=2026072300:DZDT:550 mb:anl:
372:83570944:d=2026072300:UGRD:550 mb:anl:
373:83850481:d=2026072300:VGRD:550 mb:anl:
374:84132918:d=2026072300:ABSV:550 mb:anl:
375:84395059:d=2026072300:CLMR:550 mb:anl:
376:84435212:d=2026072300:ICMR:550 mb:anl:
377:84559949:d=2026072300:RWMR:550 mb:anl:
378:84578574:d=2026072300:SNMR:550 mb:anl:
379:84653973:d=2026072300:GRLE:550 mb:anl:
380:84679193:d=2026072300:O3MR:550 mb:anl:
381:85002807:d=2026072300:HGT:600 mb:anl:
382:85217250:d=2026072300:TMP:600 mb:anl:
383:85446016:d=2026072300:RH:600 mb:anl:
384:85703916:d=2026072300:TCDC:600 mb:anl:
385:85820230:d=2026072300:SPFH:600 mb:anl:
386:86184750:d=2026072300:VVEL:600 mb:anl:
387:86521660:d=2026072300:DZDT:600 mb:anl:
388:86848240:d=2026072300:UGRD:600 mb:anl:
389:87125886:d=2026072300:VGRD:600 mb:anl:
390:87406656:d=2026072300:ABSV:600 mb:anl:
391:87666436:d=2026072300:CLMR:600 mb:anl:
392:87713613:d=2026072300:ICMR:600 mb:anl:
393:87812461:d=2026072300:RWMR:600 mb:anl:
394:87838390:d=2026072300:SNMR:600 mb:anl:
395:87897765:d=2026072300:GRLE:600 mb:anl:
396:87918088:d=2026072300:O3MR:600 mb:anl:
397:88229541:d=2026072300:HGT:650 mb:anl:
398:88476942:d=2026072300:TMP:650 mb:anl:
399:88709187:d=2026072300:RH:650 mb:anl:
400:88968717:d=2026072300:TCDC:650 mb:anl:
401:89082282:d=2026072300:SPFH:650 mb:anl:
402:89455105:d=2026072300:VVEL:650 mb:anl:
403:89793906:d=2026072300:DZDT:650 mb:anl:
404:90118391:d=2026072300:UGRD:650 mb:anl:
405:90396679:d=2026072300:VGRD:650 mb:anl:
406:90677967:d=2026072300:ABSV:650 mb:anl:
407:90939952:d=2026072300:CLMR:650 mb:anl:
408:90996983:d=2026072300:ICMR:650 mb:anl:
409:91085185:d=2026072300:RWMR:650 mb:anl:
410:91121302:d=2026072300:SNMR:650 mb:anl:
411:91174908:d=2026072300:GRLE:650 mb:anl:
412:91194325:d=2026072300:O3MR:650 mb:anl:
413:91496607:d=2026072300:HGT:700 mb:anl:
414:91745708:d=2026072300:TMP:700 mb:anl:
415:91981774:d=2026072300:RH:700 mb:anl:
416:92241952:d=2026072300:TCDC:700 mb:anl:
417:92356025:d=2026072300:SPFH:700 mb:anl:
418:92735819:d=2026072300:VVEL:700 mb:anl:
419:93077087:d=2026072300:DZDT:700 mb:anl:
420:93401562:d=2026072300:UGRD:700 mb:anl:
421:93680953:d=2026072300:VGRD:700 mb:anl:
422:93963474:d=2026072300:ABSV:700 mb:anl:
423:94226551:d=2026072300:CLMR:700 mb:anl:
424:94291498:d=2026072300:ICMR:700 mb:anl:
425:94370359:d=2026072300:RWMR:700 mb:anl:
426:94414780:d=2026072300:SNMR:700 mb:anl:
427:94471116:d=2026072300:GRLE:700 mb:anl:
428:94488788:d=2026072300:O3MR:700 mb:anl:
429:94784122:d=2026072300:HGT:750 mb:anl:
430:95035223:d=2026072300:TMP:750 mb:anl:
431:95276643:d=2026072300:RH:750 mb:anl:
432:95537277:d=2026072300:TCDC:750 mb:anl:
433:95653308:d=2026072300:SPFH:750 mb:anl:
434:96007047:d=2026072300:VVEL:750 mb:anl:
435:96350102:d=2026072300:DZDT:750 mb:anl:
436:96675676:d=2026072300:UGRD:750 mb:anl:
437:96957723:d=2026072300:VGRD:750 mb:anl:
438:97241774:d=2026072300:ABSV:750 mb:anl:
439:97507956:d=2026072300:CLMR:750 mb:anl:
440:97590224:d=2026072300:ICMR:750 mb:anl:
441:97673531:d=2026072300:RWMR:750 mb:anl:
442:97726943:d=2026072300:SNMR:750 mb:anl:
443:97781325:d=2026072300:GRLE:750 mb:anl:
444:97801181:d=2026072300:O3MR:750 mb:anl:
445:98091669:d=2026072300:HGT:800 mb:anl:
446:98345629:d=2026072300:TMP:800 mb:anl:
447:98593933:d=2026072300:RH:800 mb:anl:
448:98857553:d=2026072300:TCDC:800 mb:anl:
449:98983987:d=2026072300:SPFH:800 mb:anl:
450:99344994:d=2026072300:VVEL:800 mb:anl:
451:99691858:d=2026072300:DZDT:800 mb:anl:
452:100015866:d=2026072300:UGRD:800 mb:anl:
453:100300036:d=2026072300:VGRD:800 mb:anl:
454:100586611:d=2026072300:ABSV:800 mb:anl:
455:100857705:d=2026072300:CLMR:800 mb:anl:
456:100949373:d=2026072300:ICMR:800 mb:anl:
457:101030897:d=2026072300:RWMR:800 mb:anl:
458:101096032:d=2026072300:SNMR:800 mb:anl:
459:101149097:d=2026072300:GRLE:800 mb:anl:
460:101169724:d=2026072300:O3MR:800 mb:anl:
461:101456202:d=2026072300:HGT:850 mb:anl:
462:101725255:d=2026072300:TMP:850 mb:anl:
463:101978878:d=2026072300:RH:850 mb:anl:
464:102242517:d=2026072300:TCDC:850 mb:anl:
465:102386470:d=2026072300:SPFH:850 mb:anl:
466:102750672:d=2026072300:VVEL:850 mb:anl:
467:103099257:d=2026072300:DZDT:850 mb:anl:
468:103422543:d=2026072300:UGRD:850 mb:anl:
469:103708400:d=2026072300:VGRD:850 mb:anl:
470:103996621:d=2026072300:ABSV:850 mb:anl:
471:104271796:d=2026072300:CLMR:850 mb:anl:
472:104380698:d=2026072300:ICMR:850 mb:anl:
473:104456463:d=2026072300:RWMR:850 mb:anl:
474:104538405:d=2026072300:SNMR:850 mb:anl:
475:104585677:d=2026072300:GRLE:850 mb:anl:
476:104607943:d=2026072300:O3MR:850 mb:anl:
477:104887860:d=2026072300:HGT:900 mb:anl:
478:105163106:d=2026072300:TMP:900 mb:anl:
479:105419894:d=2026072300:RH:900 mb:anl:
480:105680156:d=2026072300:TCDC:900 mb:anl:
481:105832525:d=2026072300:SPFH:900 mb:anl:
482:106196431:d=2026072300:VVEL:900 mb:anl:
483:106542566:d=2026072300:DZDT:900 mb:anl:
484:106860976:d=2026072300:UGRD:900 mb:anl:
485:107146916:d=2026072300:VGRD:900 mb:anl:
486:107436131:d=2026072300:ABSV:900 mb:anl:
487:107710949:d=2026072300:CLMR:900 mb:anl:
488:107827112:d=2026072300:ICMR:900 mb:anl:
489:107893728:d=2026072300:RWMR:900 mb:anl:
490:107986361:d=2026072300:SNMR:900 mb:anl:
491:108028738:d=2026072300:GRLE:900 mb:anl:
492:108052296:d=2026072300:O3MR:900 mb:anl:
493:108325805:d=2026072300:HGT:925 mb:anl:
494:108604499:d=2026072300:TMP:925 mb:anl:
495:108862476:d=2026072300:RH:925 mb:anl:
496:109118944:d=2026072300:TCDC:925 mb:anl:
497:109275655:d=2026072300:SPFH:925 mb:anl:
498:109637223:d=2026072300:VVEL:925 mb:anl:
499:109978689:d=2026072300:DZDT:925 mb:anl:
500:110292233:d=2026072300:UGRD:925 mb:anl:
501:110576735:d=2026072300:VGRD:925 mb:anl:
502:110865064:d=2026072300:ABSV:925 mb:anl:
503:111139673:d=2026072300:CLMR:925 mb:anl:
504:111238191:d=2026072300:ICMR:925 mb:anl:
505:111304210:d=2026072300:RWMR:925 mb:anl:
506:111395920:d=2026072300:SNMR:925 mb:anl:
507:111432275:d=2026072300:GRLE:925 mb:anl:
508:111453274:d=2026072300:O3MR:925 mb:anl:
